id_tweet,userid,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
__1464601958421970945,1007728560906358787,GongoraSep,2021-11-27T14:28:12.000Z,"Martes a las 23:00 @gracielaedanza presenta 
#helloarte en https://t.co/YdiH53ugQD y
 https://t.co/oD7PUvkMEg en Córdoba, Spain https://t.co/9ScnPvIl4i",0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,2,4,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,3,9,23,6,1,1,1,2,0,0,0,0,0,0,0,0,5,3
__1470499878900051970,731458412794499072,albba_t94,2021-12-13T21:04:26.000Z,Y tiene de avatar la foto de un delincuente.,0,1,0,0,1,0,1,0,2,1,1,2,0,1,0,0,1,0,0,0,2,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4.75,4
__1473301614303891456,731458412794499072,albba_t94,2021-12-21T14:37:32.000Z,Vaya chiste,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
__1473435269755981829,731458412794499072,albba_t94,2021-12-21T23:28:38.000Z,Desde este mismo instante se hace necesario fichar a Kounde.,0,1,0,0,1,0,1,0,2,2,0,2,0,0,0,0,0,2,0,1,1,2,1,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,5.1,5,5.0,1,1,0,1,1,1,0,1,0,0,0,1,4.2,5
__1465323594448265230,84377438,crifedii,2021-11-29T14:15:43.000Z,"Como le digo a este gato que se me está durmiendo la pierna... 
https://t.co/eRfvQsWxWM",0,2,0,0,0,1,2,0,2,1,1,2,0,1,0,0,0,1,0,0,2,2,2,0,1,1,0,0,1,4,0,0,2,0,3,1,0,0,0,0,0,,0,0,1,5.214285714285714,4,4.0,0,0,1,3,0,0,0,0,0,0,0,0,6.5,4
__1468886146738495490,84377438,crifedii,2021-12-09T10:12:02.000Z,"Que Amazon te diga que un paquete ha sido entregado cuando
 no había nadie en casa y no han indicado nada más, a saber que
 encuentro cuando llegue.",3,3,0,0,1,0,4,2,1,1,0,1,0,0,0,0,1,0,0,1,2,3,2,0,1,1,1,1,2,3,0,0,3,0,1,0,2,0,0,0,0,,0,0,0,4.25,2,4.0,0,0,2,2,0,0,0,0,0,0,0,0,10,10
__1469372720987226124,84377438,crifedii,2021-12-10T18:25:30.000Z,"Me acabo de vacunar y ya me duele el brazo, esto promete.",0,3,0,0,1,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,3,0,0,3,0,2,0,0,1,0,0,0,,0,0,0,3.8333333333333335,2,3.0,0,0,0,2,0,0,0,0,0,0,0,0,4.8,5
__1471237528455983106,174323909,adeltoros,2021-12-15T21:55:35.000Z,".  
.
.
.
.
#grancanaria
#canaryislandas
#galdar
#elfronton
#bodyboarding
#picoftheday
#muchoporvivir
@amaurylavernhe 
📸 1416 Antonio del Toro 💯🌊 en EL FRONTON https://t.co/lwcaWvMstk",0,0,0,0,0,0,0,0,3,2,0,2,0,2,1,0,0,0,0,2,1,3,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,3,7,1,7.380952380952381,1,7,6,2,0,5,0,0,0,0,0,0,0,0,2.5714285714285716,7
__1477941578178211840,1254359068967387141,gabrielarriolab,2022-01-03T09:55:05.000Z,"#lahoradela1 Se culpa la nacionalidad del médico y no del profesional 
aquí en España. Diciendo que es un médico chileno. La negligencia es del
 profesional, no de su nacionalidad. EsTe médico se aprovechó de dejar 
mal parada la medicina Chilena. CIRUJIA  @ministeriosaludchile",1,3,0,0,1,1,4,0,7,4,3,8,0,6,0,0,1,0,1,2,9,11,9,0,3,4,4,2,6,2,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,5.5476190476190474,2,4.0,2,1,5,5,3,2,1,3,0,0,0,3,5.125,16
__1477990495049682945,1254359068967387141,gabrielarriolab,2022-01-03T13:09:28.000Z,"En unos cuantos años Almudena Grande será un Nobel. 
Y se reconocerá como Federico García Lorca. La reconocerán 
en el exterior y el PP quedará por años y Almeida como un pequeño que
 no supo reconocer más allá de la política a alguien que contribuyó 
por la cultura de España.",2,0,4,0,1,0,6,0,9,6,2,6,2,4,1,0,3,0,0,6,5,11,3,2,3,2,6,6,7,5,0,1,2,0,2,2,1,0,0,0,0,,0,0,0,4.48,2,4.0,0,0,9,3,2,1,0,1,0,0,0,2,8.35,20
