_id,screen_name,text
1397640863908511747,Alvariito_22,"~ En todo mi proceso me prohibí el alcohol, reemplacé toda ocasión de inhibición por el control, así me aseguraba que cada misión lograda la ejecutaba yo, y no mi versión drogada ~ 🔐 en Calera y Chozas, Spain https://t.co/i5tm8R794F"
1397641654455181314,enolgb,"Tirando de archivo...
Na, ye mentira. en Les Tejeres https://t.co/kSq61a8Cj4"
1397642357495959553,DeportesSinAdje,"Acabamos de participar en un partido de exhibición durante el descanso del encuentro entre el @fundlucentum y el Tau Castellón 💙🤍 Ha sido cortito, pero lo hemos disfrutado al 100% 🏀🏀🏀 en HLA Alicante https://t.co/g6DHCd6cYI"
1397642407110393856,Ronny2101,"Con #ella 💫
Mi universo 😍 en Astorga, Castilla y León, Spain https://t.co/0SwkOANZEg"
1397642589159972867,bapesa_,"Cambio de caldera en Pontevedra
https://t.co/RrUrAW3qH6 en Pontevedra, Spain https://t.co/jpSeS3OPsr"
1397642688699248640,Alberto_otc,"Próximamente...
(Y mirando a la Luna si es posible 😉)

#elpilar
#lapilarica
#basílica
#ebro
#ahivaelebro 
#TFF en El Ebro, El Pilar, Zaragoza https://t.co/CzhjtquM1I"
1397642808387772416,SBlazquez84,"Cantabria Infinita 🚗
#escapadas #findesdistintos en Cantabria, Spain https://t.co/vrGWhcumev"
1397643411784617985,JuanASeijas,Torreznos Time!  🐷 🐷 en Las Tablas https://t.co/3eDKmj5vnY
1397643415035187202,Imisalozano,"#bacalao al #pilpil con #ajo y #guindilla #cod #garlic #chili #spanishfood #spanishcuisine #spanishculture #spain en Roquetas de Mar, Spain https://t.co/0w2nTcuIWb"
1397643599769128962,A_montserratsm,"Buenas noches 🌙🐥
#aviariomontserratsm en Aviario Montserrat S.M. https://t.co/PTXWu1n7aU"
1397643607570530307,andreabds25,"""Obligar al viento a que venga a favor"". 🗺 en Bilbao, Spain https://t.co/tno8vUPCUZ"
1397643757152083970,lefem_oficial,"CÁLLATE 🥀 30/05/2021 .
.
.
.

#lefem #singers #madrid #artistas #spotifylatam #musica #song #reels en Madrid, Spain https://t.co/zPP9NOA0L0"
1397643879688593411,SANTIsegoviano,Equipo de élite de los #tigers #tigersrunningclub en El Retiro - Jardines del Buen Retiro de Madrid https://t.co/wlrhmixECj
