userid,id_tweet,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
205868586,_1488431593861566467,angora_ph,2022-02-01T08:38:40.000Z,UNESCO declara Patrimonio Documental las fotos de Mariana Yampolsky https://t.co/krUPM0IGVh #fotografia,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,1,6,0,1,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,8.454545454545455,7,7,1,1,0,0,0,0,0,0,0,0,0,0,5,4
205868586,_1488498469023145988,angora_ph,2022-02-01T13:04:24.000Z,Las fotos favoritas de 10 años de Instagram en National Geographic https://t.co/ToTrazbkdb a través de @natgeoespana #fotografia,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,4,7,1,2,1,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,6.588235294117647,2,5,0,0,1,0,1,0,1,0,0,0,0,1,6.285714285714286,7
205868586,_1490306354300522501,angora_ph,2022-02-06T12:48:18.000Z,Sin  noticias de los desaparecidos en Campo de Criptana y Miguel Esteban https://t.co/eWVQDyyaLJ #desaparecidos #SeBusca,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,1,5,0,1,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,7,8,6,1,1,0,0,1,1,0,0,0,0,0,1,7.6,5
205868586,_1490773096055328777,angora_ph,2022-02-07T19:42:57.000Z,"Cértima, la Criptana que se encontraron los ejércitos romanos https://t.co/rGDOZsVw49 #historia #celtas #Iberos y #romanos",1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,2,1,3,0,1,1,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,,0,4,1,7.2,8,7,2,1,2,1,1,1,0,0,0,0,0,1,7,4
205868586,_1491077012894945281,angora_ph,2022-02-08T15:50:37.000Z,"Fernando Marías, el autor que escribía en la niebla https://t.co/8W9iIsrVPi a través de @eldiarioCultura #fallecimiento #elultimoadios #FernandoMarias",1,0,0,0,0,1,0,3,1,1,2,0,0,1,0,0,0,0,2,3,5,2,0,1,1,3,3,3,1,0,0,0,0,0,1,0,0,0,0,0,,0,3,1,7.882352941176471,2,6,1,1,3,1,0,0,0,0,0,0,0,0,7.833333333333333,6
281221084,_1461690767391567874,ka_gracia23,2021-11-19T13:40:10.000Z,"Ella es una cosita hermosa ❤️ en Madrid, Spain https://t.co/Jh0biRsDSY",0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,1,3,1,0,0,1,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,,1,0,1,6.1,2,4.5,2,2,0,1,3,2,1,1,0,0,0,3,4.5,4
281221084,_1462075130725781522,ka_gracia23,2021-11-20T15:07:29.000Z,"El universo me apoya de todas las maneras posibles 🍃 en Toledo, España https://t.co/clgjAtewmK",0,1,0,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,2,2,4,1,1,1,1,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,,1,0,1,6.153846153846154,2,5,1,1,0,1,1,0,0,0,0,0,0,1,4.333333333333333,6
281221084,_1463255421980925955,ka_gracia23,2021-11-23T21:17:33.000Z,"Tengo paz en mi interior, hay paz en mi corazón 🍃 en Madrid, Spain https://t.co/yteuRwuWnB",0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,4,6,4,0,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,5.357142857142857,2,3.0,3,2,1,2,0,0,0,0,0,0,0,0,4.833333333333333,6
281221084,_1470180811047460864,ka_gracia23,2021-12-12T23:56:34.000Z,"Feliz de tenerte a mi lado Bro… 🤍 en Puerta De Alcalá, Madrid España https://t.co/2dhdfony66",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,8,1,0,1,0,7,7,4,1,0,0,0,0,1,0,0,0,0,0,0,,1,0,1,5.5,2,4.5,3,2,1,1,0,0,0,0,0,0,0,0,6.142857142857143,7
281221084,_1485710435634532358,ka_gracia23,2022-01-24T20:25:45.000Z,Acaba de publicar una foto en GAREX-Abogados De Extranjería https://t.co/Sg93LQ8J5z,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,1,3,1,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7.4,2,4.5,1,1,1,1,0,0,0,0,0,0,0,0,4,5
