userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas,Renta_zona_usuario,sentiment
854798686748069888,EliadCosta,0.0,1.0,0.0,0.0,0.33,0.0,1.0,0.0,9.67,0.67,1.67,1.67,0.67,2.0,7.33,0.0,0.33,0.0,0.0,3.67,6.67,10.33,2.0,0.0,0.67,1.33,8.33,8.33,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,4.67,4.67,6.0,2.33,1.0,11.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.67,6.23,12.33,10150.0,0.14
861591645648822272,Natividadngela1,0.01,0.41,0.01,0.0,0.37,0.0,0.42,0.01,0.93,0.19,0.67,0.83,0.05,0.47,0.07,0.0,0.38,0.0,0.01,1.4,1.64,3.04,1.2,0.15,0.47,0.83,1.74,1.69,2.12,0.06,0.01,0.0,0.02,0.0,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.75,2.29,0.99,9.4,6.57,8.68,1.03,0.97,0.69,0.55,0.04,0.02,0.02,0.03,0.01,0.0,0.0,0.04,4.45,3.79,10850.0,0.09
867028282805452801,ProtecSuances,0.0,0.75,0.0,0.0,0.56,0.0,0.56,0.19,1.19,0.44,0.44,0.75,0.25,0.44,0.31,0.0,0.31,0.12,0.0,0.81,2.0,2.81,1.5,0.38,0.88,1.0,0.94,0.94,1.19,0.19,0.12,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.94,8.81,5.31,6.41,0.44,0.25,0.31,1.44,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,3.4,4.38,15050.0,-0.05
883619282957078528,Rosayoguini3,0.04,1.17,0.01,0.0,0.89,0.03,1.19,0.03,1.24,0.24,0.97,1.15,0.11,0.28,0.03,0.0,0.88,0.02,0.06,0.37,1.49,1.87,1.22,0.16,0.3,1.08,0.48,0.48,1.37,0.37,0.07,0.01,0.14,0.0,0.23,0.08,0.04,0.01,0.0,0.0,0.01,0.3,0.01,1.0,7.19,4.56,4.6,0.27,0.2,0.31,0.44,0.22,0.09,0.05,0.16,0.06,0.01,0.01,0.21,3.62,3.92,14350.0,0.24
897499511240740864,LuiisAlfonsoo,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.5,6.0,12250.0,0.15
897499511240740864,luiisalfonsoo,0.0,1.83,0.0,0.0,0.17,0.0,1.83,0.0,0.5,0.17,0.33,0.33,0.17,0.33,0.0,0.0,0.17,0.0,0.0,1.0,0.67,1.67,0.5,0.17,0.0,0.67,1.0,1.0,0.67,1.83,0.33,0.0,1.0,0.0,0.5,0.67,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.63,3.83,4.08,0.67,0.33,0.67,2.17,0.5,0.0,0.17,0.17,0.17,0.17,0.0,0.33,4.9,4.33,12250.0,0.15
897499511240740864,luisalfonsoruex,0.2,0.4,0.0,0.0,0.1,0.0,0.4,0.1,1.0,0.3,0.6,0.9,0.0,0.4,0.1,0.0,0.4,0.1,0.0,0.3,1.4,1.7,1.1,0.3,0.8,0.6,0.3,0.3,0.9,1.0,0.3,0.1,0.6,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.3,4.99,3.2,4.3,0.2,0.2,0.9,1.8,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.2,4.34,3.6,12250.0,0.15
906980814461816832,regi_1784,0.26,1.45,0.0,0.0,0.32,0.13,1.68,0.05,1.63,0.74,0.71,1.37,0.37,0.76,0.18,0.0,0.55,0.05,0.26,0.21,2.45,2.66,1.63,0.61,0.82,1.34,0.5,0.42,1.82,1.29,0.21,0.0,0.68,0.0,0.74,0.21,0.18,0.11,0.05,0.0,0.0,0.47,0.82,0.42,6.65,3.32,5.09,0.47,0.42,1.26,2.24,0.84,0.21,0.45,0.58,0.26,0.03,0.03,0.82,4.48,5.21,12950.0,0.18
922961219329421312,fisioestevez82,0.0,0.62,0.0,0.0,0.75,0.12,0.62,0.0,1.0,0.38,0.5,0.88,0.12,0.0,0.12,0.0,0.62,0.12,0.25,1.25,1.0,2.25,1.0,0.0,0.5,0.5,1.25,1.25,1.25,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,9.75,0.0,1.0,7.98,5.5,5.69,0.5,0.5,0.5,0.5,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.12,3.82,3.25,12950.0,0.75
930369949079621632,cortedeespin,0.0,0.75,0.0,0.0,0.58,0.0,0.42,0.33,2.5,1.33,0.75,1.83,0.75,1.08,0.42,0.0,0.67,0.0,0.67,0.92,5.08,6.0,3.92,0.92,1.92,2.83,1.25,1.17,3.58,1.42,0.67,0.25,0.17,0.0,0.33,0.17,0.75,0.0,0.0,0.0,0.17,1.83,1.58,1.0,6.38,3.83,5.5,0.92,0.92,0.58,1.83,0.5,0.33,0.08,0.42,0.08,0.0,0.0,0.5,6.03,7.67,15050.0,0.92
