userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment
142451580,murcianicaguapa,0.0,0.6,0.0,0.0,0.5,0.0,0.6,0.0,0.7,0.1,0.5,0.6,0.0,0.2,0.1,0.0,0.4,0.0,0.0,1.0,1.7,2.7,1.1,0.3,0.6,0.8,1.3,1.3,1.4,0.4,0.1,0.0,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.7,1.0,7.34,4.1,5.0,0.9,0.6,0.5,1.3,0.8,0.5,0.1,0.6,0.1,0.0,0.0,0.8,3.45,4.1,13650.0,0.92
142647380,Megustaloqhaces,0.53,0.88,0.0,0.0,0.82,0.0,1.35,0.06,1.47,0.47,0.82,1.06,0.41,0.47,0.18,0.0,0.59,0.24,0.18,1.35,2.94,4.29,1.71,0.82,0.94,1.59,1.76,1.76,3.18,1.24,0.29,0.06,0.41,0.18,0.88,0.29,0.06,0.0,0.0,0.0,0.06,0.88,0.35,1.18,6.45,3.18,4.94,1.71,1.29,0.71,1.29,0.76,0.41,0.18,0.53,0.24,0.0,0.0,0.76,5.07,6.47,8750.0,0.75
144976129,denismartinb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,2.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.73,2.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.0,12250.0,0.0
145400513,Jaimon87,0.12,0.84,0.0,0.0,0.33,0.01,0.93,0.04,1.35,0.6,0.63,1.06,0.29,0.7,0.12,0.0,0.37,0.11,0.11,1.77,2.13,3.9,1.48,0.54,1.04,0.9,1.96,1.89,1.95,0.8,0.16,0.05,0.43,0.12,0.48,0.16,0.07,0.06,0.02,0.0,0.01,0.4,0.52,0.98,7.03,3.84,5.46,1.29,0.82,0.57,2.27,0.46,0.17,0.11,0.32,0.11,0.04,0.04,0.43,4.34,5.06,13650.0,0.27
146421080,Martin191919,0.33,1.5,0.0,0.0,0.17,0.0,1.67,0.17,2.17,1.33,0.5,1.67,0.5,1.0,0.33,0.0,0.5,0.17,0.33,1.33,3.5,4.83,2.33,1.0,1.67,1.5,1.67,1.5,2.5,0.83,0.17,0.0,0.5,0.17,0.5,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,4.78,2.17,4.25,1.33,1.33,0.67,2.5,0.67,0.33,0.0,0.5,0.17,0.0,0.0,0.67,5.12,6.83,13650.0,0.14
146437617,mfernann,0.0,0.83,0.0,0.0,0.83,0.0,0.83,0.0,1.17,0.25,0.92,1.08,0.08,0.33,0.0,0.0,0.83,0.0,0.0,2.17,2.0,4.17,1.58,0.17,0.58,1.17,2.42,2.42,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,1.0,6.39,2.67,4.54,1.33,0.92,0.5,1.33,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,4.66,4.83,12250.0,0.77
148461629,rafsanmar,0.14,0.96,0.0,0.0,0.32,0.16,1.04,0.07,3.46,1.32,1.39,2.47,0.39,1.84,0.75,0.0,0.18,0.39,0.42,0.91,5.68,6.6,3.68,1.04,1.86,2.79,1.95,1.88,3.91,0.77,0.14,0.23,0.42,0.07,0.35,0.11,0.07,0.02,0.0,0.02,0.21,0.0,0.09,1.0,6.23,3.4,4.96,1.23,1.11,1.65,3.53,0.88,0.23,0.4,0.72,0.14,0.0,0.02,0.88,5.47,7.79,13650.0,0.29
148761863,Luiky9,0.0,0.96,0.0,0.0,0.96,0.0,0.96,0.0,0.96,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.96,0.0,0.0,1.19,1.07,2.26,1.0,0.07,0.04,1.0,1.22,1.19,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.41,1.0,6.49,4.78,4.8,1.0,0.48,0.0,0.74,0.52,0.0,0.52,0.52,0.0,0.0,0.0,0.52,4.48,5.0,11550.0,0.84
149403185,Marcospandereta,0.26,1.18,0.05,0.01,0.41,0.13,1.38,0.12,1.69,0.99,0.58,1.3,0.45,1.12,0.12,0.0,0.25,0.06,0.15,1.41,2.35,3.77,1.38,0.74,1.04,1.05,1.68,1.65,2.08,1.39,0.25,0.08,0.72,0.18,0.83,0.23,0.18,0.05,0.04,0.01,0.05,0.32,0.66,0.47,6.49,3.94,5.49,1.52,1.19,0.83,2.8,0.56,0.29,0.09,0.42,0.13,0.02,0.02,0.54,4.6,5.82,11550.0,0.13
149634289,patriciaizma,0.62,1.38,0.12,0.0,0.62,0.12,2.0,0.0,2.62,0.75,1.5,2.0,0.75,1.62,0.38,0.0,0.25,0.38,0.38,1.5,4.62,6.12,3.12,1.38,1.88,2.62,1.62,1.62,3.0,2.75,0.25,0.12,2.0,0.12,2.12,0.25,0.0,0.25,0.0,0.12,0.0,1.0,2.5,0.62,5.92,4.12,5.06,2.5,2.0,1.88,3.25,1.25,0.62,0.5,1.12,0.12,0.0,0.12,1.12,6.09,8.88,12250.0,0.26
