userid,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
154751688,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,1.0,0.0,0,0.0,0.0,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.0,1.0,0.3333333333333333,1.0,1.0,1.3333333333333333,2.0,0.0,0.0,0.3333333333333333,0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0,0.6666666666666666,1.0,0.3333333333333333,5.158333333333333,3.0,4.833333333333333,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0.0,0.0,1.0,4.666666666666667,4.0
158072192,0.0,1.5,0.0,1.5,0.0,1.0,0.5,5.5,3.5,2.0,5.5,0.0,3.0,0.0,0,1.0,1.0,0.0,3.0,6.0,9.0,6.0,0.0,3.0,3.0,3.0,3.0,5.5,1.0,0.5,0.0,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5,0.0,0.5,5.678947368421053,2.0,4.25,1.0,1.0,2.0,2.5,1.5,0.5,0.0,1.5,0,0.0,0.0,1.5,6.178571428571429,12.5
159072694,0.2,1.8,0.2,1.6,0.0,2.0,0.2,1.8,1.0,0.8,1.2,0.6,1.2,0.0,0,0.2,0.2,0.0,1.4,2.4,3.8,1.4,1.0,1.2,1.0,1.6,1.4,2.4,1.4,0.4,0.0,0.8,0,0.8,0.0,0.4,0.2,0.0,0.0,0,0.0,0.0,0.2,4.888239046814898,5.0,4.4,0.8,0.8,1.4,5.0,0.2,0.2,0.0,0.2,0,0.0,0.0,0.2,6.0023809523809515,7.2
174323909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,7.0,1.0,7.380952380952381,1.0,7.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,2.857142857142857,7.0
187226661,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.5,1.5,1.5,0.5,1.0,0.0,0.0,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.5,7.894230769230769,16.0,4.5,2.5,2.5,1.0,0.0,1.0,0.5,0.5,0.5,0,0.0,0.0,1.0,5.25,3.5
217779492,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.0,2.3333333333333335,0.3333333333333333,4.0,2.3333333333333335,1.3333333333333333,3.6666666666666665,0.0,2.6666666666666665,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0.0,2.0,4.333333333333333,6.333333333333333,3.6666666666666665,0.6666666666666666,2.3333333333333335,2.0,2.0,2.0,3.0,1.6666666666666667,0.0,0.0,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0.0,0.0,1.0,5.7599871392974835,3.6666666666666665,4.666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,3.6666666666666665,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,6.26984126984127,12.666666666666666
220639235,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.0,0,0.3333333333333333,0.0,0.0,4.0,0.6666666666666666,4.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,4.0,4.0,2.3333333333333335,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,8.42969696969697,5.333333333333333,6.666666666666667,2.6666666666666665,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0,0.0,0.0,0.3333333333333333,4.406060606060605,6.333333333333333
222822744,0.5,1.0,0.0,0.0,0.0,1.5,0.5,1.0,0.5,0.5,1.5,0.0,0.0,0.0,0,1.0,0.0,0.0,12.0,4.0,16.0,3.0,0.0,1.5,1.5,13.0,13.0,2.0,1.5,0.5,0.0,1.5,0,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.950750469043152,5.0,5.75,8.0,1.5,0.5,6.0,3.5,1.0,1.0,3.5,0,0.5,0.0,3.0,5.169871794871796,12.5
232878377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.5,1.0,2.5,0.5,0.0,1.0,0.0,1.5,2.0,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,9.214285714285715,3.5,6.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0,0.0,0.0,0.5,3.1666666666666665,2.5
233345061,0.0,1.0,0.0,0.5,0.0,1.0,0.0,3.0,0.5,2.5,1.0,2.0,2.0,0.0,0,0.0,0.0,0.0,7.0,2.5,9.5,1.5,0.5,1.5,0.5,7.5,7.5,3.5,0.5,0.0,0.0,0.5,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1.0,8.078947368421053,4.5,6.0,3.0,3.0,2.5,7.5,1.5,1.0,0.0,1.0,0,0.0,0.0,1.5,5.742647058823529,10.5
290481324,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0,0.5,0.0,1.0,2.5,0.5,3.0,0.5,0.0,0.0,0.5,2.5,2.5,1.5,1.0,0.0,0.5,1.0,0,0.5,0.0,0.0,0.5,0.0,0.0,0,2.5,0.0,1.0,6.642857142857142,4.0,4.5,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0,0.0,0.0,1.0,5.15,3.5
295191363,0.0,0.8,0.0,0.4,0.0,0.6,0.2,1.6,0.2,1.2,1.4,0.0,1.2,0.2,0,0.2,0.0,0.0,1.8,2.4,4.2,1.8,0.6,0.6,1.8,1.8,1.8,2.0,0.8,0.4,0.0,0.2,0,0.4,0.4,0.0,0.0,0.0,0.0,0,0.0,0.8,1.0,7.44047619047619,4.4,5.8,0.8,0.6,1.6,1.6,0.8,0.4,0.2,0.4,0,0.0,0.0,0.8,5.202857142857143,6.0
304645793,0.3333333333333333,0.6666666666666666,0.0,0.8333333333333334,0.0,1.0,0.0,1.1666666666666667,0.5,0.6666666666666666,1.1666666666666667,0.0,1.0,0.0,0,0.16666666666666666,0.0,0.0,0.8333333333333334,1.8333333333333333,2.6666666666666665,1.6666666666666667,0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.5,0.6666666666666666,0.0,0.0,0.16666666666666666,0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.64357772094345,3.8333333333333335,4.25,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0,0.0,0.16666666666666666,0.6666666666666666,5.078703703703703,4.166666666666667
309077758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,8.0,2.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.5,2.0
339791882,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5,1.5,2.5,0.0,1.5,0.0,0,0.5,0.5,0.0,0.0,2.5,2.5,2.5,0.0,1.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.675,2.0,2.75,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0,0.0,0.0,0.5,5.25,4.5
352468789,0.0,1.5555555555555556,0.0,0.5555555555555556,0.0,1.5555555555555556,0.0,2.111111111111111,0.8888888888888888,0.7777777777777778,1.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0,0.1111111111111111,0.4444444444444444,0.2222222222222222,1.4444444444444444,2.5555555555555554,4.0,1.4444444444444444,0.6666666666666666,0.8888888888888888,1.2222222222222223,1.8888888888888888,1.8888888888888888,1.6666666666666667,1.2222222222222223,0.1111111111111111,0.0,1.1111111111111112,0,1.1111111111111112,0.0,0.1111111111111111,0.0,0.0,0.0,0,0.7777777777777778,0.0,0.2222222222222222,6.167724867724868,3.7777777777777777,5.5,0.5555555555555556,0.4444444444444444,1.5555555555555556,1.1111111111111112,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.2222222222222222,0,0.0,0.1111111111111111,0.7777777777777778,5.139316239316241,6.666666666666667
372826254,0.25,1.25,0.0,1.75,0.25,1.5,0.0,2.0,0.75,1.0,1.25,0.5,0.75,0.25,0,1.0,0.0,0.0,3.5,4.0,7.5,2.5,1.5,1.75,2.0,3.75,3.5,4.5,1.75,0.25,0.0,0.75,0,1.0,0.25,0.0,0.0,0.5,0.0,0,0.75,0.0,0.75,6.512878787878789,3.25,4.875,2.0,1.75,1.75,4.25,1.25,0.5,0.5,0.75,0,0.0,0.0,1.25,5.909313725490197,10.75
376955291,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,4.937606837606837,4.0,4.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.305555555555556,4.0
377582506,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1.0,8.466666666666667,3.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.333333333333333,3.0
379891863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,1.0,8.4,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.6666666666666665,3.0
380221163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,1.0,2.5,0.0,2.5,0.0,0,0.0,0.0,0.0,3.0,2.0,5.0,1.5,0.5,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4.983660130718954,3.5,3.5,0.0,0.0,0.5,1.5,0.5,0.0,0.5,0.5,0,0.0,0.0,0.5,5.0476190476190474,5.0
415748218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,9.833333333333334,10.0,9.5,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6666666666666667,3.0
462225391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,1.0,6.833333333333333,3.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,3.6666666666666665,3.0
464206612,0.5,3.0,0.0,1.0,0.0,3.0,0.5,1.0,0.5,0.5,1.5,0.0,0.5,0.0,0,0.5,0.0,0.0,1.5,2.5,4.0,2.0,0.5,1.5,1.0,1.5,1.5,3.5,4.0,1.0,0.0,3.0,0,3.0,0.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,3.9827586206896557,3.0,4.0,0.5,0.5,1.5,2.0,0.5,0.5,0.0,0.5,0,0.0,0.0,0.5,7.871794871794872,9.5
465898335,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,0.0,0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,5.7407407407407405,5.0,4.0,2.0,1.0,2.0,15.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,3.3846153846153846,13.0
479267947,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,4.0,0.6666666666666666,4.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,4.0,4.0,1.6666666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.666666666666667,0.0,1.0,7.577777777777778,3.6666666666666665,6.166666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0,0.3333333333333333,0.0,0.0,4.711111111111111,3.3333333333333335
512210134,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,0.5,7.181818181818182,6.5,5.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0,0.0,0.0,0.5,4.25,2.0
526335755,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,9.638095238095238,2.6666666666666665,10.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.0,0.6666666666666666,3.5,2.0
636187669,0.4,1.0,0.0,0.2,0.0,1.4,0.0,0.4,0.4,0.0,0.6,0.0,0.2,0.0,0,0.2,0.0,0.0,1.0,1.2,2.2,0.6,0.0,0.2,0.4,1.6,1.6,0.6,1.4,0.4,0.0,0.8,0,0.8,0.0,0.2,0.4,0.0,0.0,0,1.0,0.0,0.0,5.016666666666667,5.0,4.9,1.4,1.0,0.2,0.6,0.4,0.2,0.2,0.2,0,0.0,0.0,0.4,3.95,3.8
